date,no_words,een_jaar_geleden,twee_jaar_geleden,drie_jaar_geleden,vier_jaar_geleden,vijf_jaar_geleden,zes_jaar_geleden,zeven_jaar_geleden,acht_jaar_geleden,negen_jaar_geleden,tien_jaar_geleden,honderd_jaar_geleden
1962,18305628,2.8952844447620153e-06,3.3869365202876406e-06,1.1471881762264588e-06,7.647921174843059e-07,1.201816184618195e-06,9.833041510512505e-07,4.916520755256252e-07,2.1851203356694454e-07,1.0925601678347227e-07,1.4203282181851397e-06,1.6388402517520842e-07
1963,16793130,3.2156006652720487e-06,3.870630430420058e-06,1.786444814040027e-06,5.95481604680009e-07,6.5502976514801e-07,1.786444814040027e-07,5.359334442120081e-07,3.572889628080054e-07,1.190963209360018e-07,2.2032819373160332e-06,5.95481604680009e-07
1964,8227223,2.795597007641582e-06,3.403335487563665e-06,8.508338718909163e-07,2.6740493116571654e-06,8.508338718909163e-07,4.861907839376664e-07,4.861907839376664e-07,6.077384799220831e-07,0.0,1.944763135750666e-06,1.215476959844166e-07
1965,8595719,3.6064464182693733e-06,2.55941358715891e-06,1.5123807560484469e-06,9.306958498759673e-07,6.980218874069755e-07,3.4901094370348776e-07,1.1633698123449591e-07,3.4901094370348776e-07,3.4901094370348776e-07,2.2104026434554225e-06,5.816849061724796e-07
1966,17559961,3.644655019450214e-06,2.7904389992665703e-06,1.8792752444040166e-06,1.138954693578192e-06,6.833728161469152e-07,9.68111489541463e-07,3.986341427523672e-07,2.2779093871563838e-07,1.1389546935781919e-07,2.2209616524774744e-06,2.84738673394548e-07
1967,9173663,3.7062621550410125e-06,4.142292996810543e-06,1.1990848148662098e-06,1.526107946193358e-06,1.1990848148662098e-06,9.810693939814444e-07,1.0900771044238272e-07,3.2702313132714816e-07,2.1801542088476543e-07,1.6351156566357409e-06,5.450385522119136e-07
1968,9780801,2.8627512204777503e-06,3.885162370648375e-06,1.5336167252559376e-06,2.147063415358313e-06,1.022411150170625e-06,2.0448223003412503e-07,8.179289201365001e-07,6.13446690102375e-07,1.0224111501706251e-07,2.2493045303753753e-06,5.112055750853125e-07
1969,20768907,3.0815295191027626e-06,3.3222740127826658e-06,2.16670044311913e-06,7.703823797756906e-07,1.011126873455594e-06,7.703823797756906e-07,2.88893392415884e-07,7.2223348103971e-07,1.44446696207942e-07,1.6852114557593232e-06,4.33340088623826e-07
1970,20239731,2.075126393725292e-06,4.10084501617141e-06,1.4822331383752086e-06,1.679864223491903e-06,1.6304564522127295e-06,7.905243404667779e-07,9.387476543042988e-07,2.964466276750417e-07,1.4822331383752086e-07,1.5810486809335558e-06,3.9526217023338896e-07
1971,21097590,3.602307182953124e-06,4.265890085076068e-06,1.8959511489226969e-06,1.0427731319074832e-06,7.583804595690787e-07,6.635829021229439e-07,4.265890085076068e-07,4.265890085076068e-07,1.8959511489226968e-07,2.701730387214843e-06,3.3179145106147194e-07
