jaar,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980
als jaar geleden,0.02562846243731086,0.012840742752219315,0.009876872926720912,0.008842487601152312,0.015840969591532205,,0.04784185225089276,0.015695917958692504,0.03789875632436088,0.01992327794703571
van jaar geleden,0.02562846243731086,0.038522228256657944,0.019753745853441824,0.0884248760115231,0.05808355516895142,0.09845552570684853,0.17940694594084788,0.12556734366954003,0.1800190925407142,0.15938622357628568
amp jaar geleden,0.02562846243731086,,,,,,,,,
ruim jaar geleden,0.02562846243731086,0.038522228256657944,0.03950749170688365,0.035369950404609246,0.03168193918306441,0.07384164428013638,0.1554860198154015,0.12556734366954003,0.170544403459624,0.13448212614249103
zes jaar geleden,0.02562846243731086,0.012840742752219315,0.029630618780162737,0.0795823884103708,0.14784904952096722,0.04922776285342426,0.2870511135053566,0.7769479389552789,0.606380101189774,0.6973147281462498
waarop jaar geleden,0.02562846243731086,0.02568148550443863,0.019753745853441824,,0.010560646394354802,0.02461388142671213,0.03588138918816958,,,
vóór jaar geleden,0.02562846243731086,,,0.008842487601152312,,,,,,
dertien jaar geleden,0.02562846243731086,0.012840742752219315,0.009876872926720912,0.008842487601152312,0.05280323197177401,0.04922776285342426,0.04784185225089276,0.06278367183477002,0.11843361351362776,0.13946294562924996
die jaar geleden,0.01281423121865543,0.02568148550443863,0.03950749170688365,0.06189741320806617,0.07392452476048361,0.07384164428013638,0.2750906504426334,0.2825265232564651,0.20370581524343975,0.3038299886922946
tbn jaar geleden,0.01281423121865543,,,,,,,,,
twte jaar geleden,0.01281423121865543,,,,,,,0.007847958979346252,,
vgftien jaar geleden,0.01281423121865543,,,,,,,,,
juni jaar geleden,0.01281423121865543,,,,0.005280323197177401,,,,,
üuco jaar geleden,0.01281423121865543,,,,,,,,,
tevens jaar geleden,0.01281423121865543,0.012840742752219315,,,0.005280323197177401,,0.01196046306272319,0.007847958979346252,,
zee jaar geleden,0.01281423121865543,,,,,,,,,
oiiuiag jaar geleden,0.01281423121865543,,,,,,,,,
twa jaar geleden,0.01281423121865543,0.012840742752219315,,,,,,,,
tachtig jaar geleden,0.01281423121865543,,0.009876872926720912,0.017684975202304623,0.026401615985887004,0.07384164428013638,0.03588138918816958,,0.014212033621635332,0.01992327794703571
klein halfjaar geleden,0.01281423121865543,,,,,,,,0.00473734454054511,
tot jaar geleden,0.01281423121865543,,,,0.005280323197177401,,0.01196046306272319,,0.00473734454054511,0.04482737538083035
één jaar geleden,0.01281423121865543,,0.009876872926720912,0.008842487601152312,0.021121292788709604,,0.01196046306272319,0.015695917958692504,0.03789875632436088,0.024904097433794636
maart jaar geleden,0.01281423121865543,,,0.008842487601152312,,,,,,
dan jaar geleden,0.01281423121865543,0.02568148550443863,0.04938436463360456,0.05305492560691386,0.07920484795766103,0.09845552570684853,0.09568370450178552,0.07063163081411628,0.05684813448654133,0.06475065332786606
dertij jaar geleden,0.01281423121865543,,,,,,,,,
liet jaar geleden,0.01281423121865543,0.012840742752219315,,,0.005280323197177401,,0.02392092612544638,,,
derd jaar geleden,0.01281423121865543,,,,,,,,0.00473734454054511,0.0049808194867589275
