jaar,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980
warenvijftig jaar geleden,,,,1.0,,,,,,
gustaven jaar geleden,,,,1.0,,,,,,
dag jaar geleden,,,,1.0,1.0,1.0,1.0,,,2.0
lift jaar geleden,,,,1.0,,,,,,
ongeveer éettïgjaar geleden,,,,1.0,,,,,,
uitkwam jaar geleden,,,,1.0,,,,,,
wintdertig jaar geleden,,,,1.0,,,,,,
wel jaar geleden,,,,1.0,,,,,1.0,1.0
millioen jaar geleden,,,,1.0,,,,,,
eet jaar geleden,,,,1.0,1.0,,,,,
lilveertig jaar geleden,,,,1.0,,,,,,
vrletwee jaar geleden,,,,1.0,,,,,,
tilburgtwee jaar geleden,,,,1.0,,,,,,
veeriï jaar geleden,,,,1.0,,,,,,
ton jaar geleden,,,,1.0,,,,,,
derüg jaar geleden,,,,1.0,,,,,,
hoofdassistenttwee jaar geleden,,,,1.0,,,,,,
slectrs jaar geleden,,,,1.0,,,,,,
coo jaar geleden,,,,1.0,,,,,,
len jaar geleden,,,,1.0,,,,1.0,,
october jaar geleden,,,,1.0,,,,,,
verzor omjaar geleden,,,,1.0,,,,,,
maatregel jaar geleden,,,,1.0,,,,,,
goed halfjaar geleden,,,,1.0,,,,,1.0,
gevoegd jaar geleden,,,,1.0,,,,,,
som jaar geleden,,,,1.0,,,,,,
haif jaar geleden,,,,1.0,1.0,,,,,
zat jaar geleden,,,,1.0,,,,,,
balf jaar geleden,,,,1.0,,,,,1.0,
vee jaar geleden,,,,1.0,,,,,,
bepaaldvijfendertig jaar geleden,,,,1.0,,,,,,
kuiperstraat jaar geleden,,,,1.0,,,,,,
ong jaar geleden,,,,1.0,,,,,,
2400 jaar geleden,,,,1.0,,,,1.0,1.0,
vijfli jaar geleden,,,,1.0,,,,,,
ving jaar geleden,,,,1.0,,,,,,
éen jaar geleden,,,,1.0,,,,,,1.0
twefe jaar geleden,,,,1.0,,,,,,
geven jaar geleden,,,,1.0,,,,,,
verloor jaar geleden,,,,1.0,,,,,,
4eu jaar geleden,,,,1.0,,,,,,
moeder jaar geleden,,,,1.0,,,,,,
ófn jaar geleden,,,,1.0,,,,,,
twintiir jaar geleden,,,,1.0,,,,,,
aan jaar geleden,,,,1.0,1.0,1.0,,4.0,1.0,2.0
69748ijfii jaar geleden,,,,1.0,,,,,,
tenminste jaar geleden,,,,1.0,,,,,1.0,
onpevieer jaar geleden,,,,1.0,,,,,,
omstreeks jaar geleden,,,,1.0,2.0,,1.0,1.0,,
staandetwintig jaar geleden,,,,1.0,,,,,,
geprofiteerd jaar geleden,,,,1.0,,,,,,
ertrouwen jaar geleden,,,,1.0,,,,,,
voorzien jaar geleden,,,,1.0,,,,,,
tnrksche jaar geleden,,,,1.0,,,,,,
tvaalf jaar geleden,,,,1.0,,,,,,
ongo jaar geleden,,,,1.0,,,,,,
februari jaar geleden,,,,1.0,,,,,,
tli jaar geleden,,,,1.0,,,,,,
bedrijven jaar geleden,,,,1.0,,,,,,
pen jaar geleden,,,,1.0,,,,1.0,,
llou jaar geleden,,,,1.0,,,,,,
teertlg jaar geleden,,,,1.0,,,,,,
toeliettien jaar geleden,,,,1.0,,,,,,
vrouw jaar geleden,,,,1.0,1.0,,,2.0,,
meter jaar geleden,,,,1.0,,,,,,
seren jaar geleden,,,,1.0,,,,,,
vijentwintig jaar geleden,,,,1.0,,,,,,
zeshonderd jaar geleden,,,,1.0,,,,,,
dim jaar geleden,,,,1.0,,,,,,
850 jaar geleden,,,,1.0,1.0,,,,,
