date	twee_pertrigrams	drie_pertrigrams	vier_pertrigrams	vijf_pertrigrams	zes_pertrigrams	zeven_pertrigrams	acht_pertrigrams	negen_pertrigrams	tien_pertrigrams	elf_pertrigrams	twaalf_pertrigrams	dertien_pertrigrams	veertien_pertrigrams	vijftien_pertrigrams	zestien_pertrigrams	zeventien_pertrigrams	achttien_pertrigrams	negentien_pertrigrams	twintig_pertrigrams	dertig_pertrigrams	veertig_pertrigrams	vijftig_pertrigrams	zestig_pertrigrams	zeventig_pertrigrams	tachtig_pertrigrams	negentig_pertrigrams	honderd_pertrigrams	honderdtien_pertrigrams	honderdtwintig_pertrigrams	honderddertig_pertrigrams	honderdveertig_pertrigrams	honderdvijftig_pertrigrams	honderdzestig_pertrigrams	honderdzeventig_pertrigrams	honderdtachtig_pertrigrams	honderdnegentig_pertrigrams	tweehonderd_pertrigrams
1963-12-31	1.725257895963739e-05	1.083301469558627e-05	5.617118731044732e-06	6.820787030554318e-06	3.611004898528756e-06	6.419564264051122e-06	3.209782132025561e-06	1.2036682995095855e-06	9.629346396076684e-06	2.0061138325159756e-06	8.024455330063903e-07	0.0	1.2036682995095855e-06	4.0122276650319513e-07	4.0122276650319513e-07	1.2036682995095855e-06	4.0122276650319513e-07	4.0122276650319513e-07	2.808559365522366e-06	4.814673198038342e-06	1.2036682995095855e-06	3.209782132025561e-06	1.2036682995095855e-06	0.0	0.0	0.0	3.209782132025561e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1964-12-31	3.266167324118931e-05	1.1431585634416258e-05	1.469775295853519e-05	7.348876479267595e-06	4.082709155148664e-06	4.899250986178397e-06	1.6330836620594654e-06	1.6330836620594654e-06	1.469775295853519e-05	1.6330836620594654e-06	8.165418310297327e-07	0.0	2.4496254930891983e-06	8.165418310297327e-07	8.165418310297327e-07	3.266167324118931e-06	0.0	0.0	9.798501972356793e-06	5.715792817208129e-06	5.715792817208129e-06	2.4496254930891983e-06	0.0	0.0	0.0	0.0	4.082709155148664e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.165418310297327e-07
1965-12-31	2.3144342485191612e-05	8.778888528865784e-06	7.182726978162914e-06	1.3567373180974392e-05	9.576969304217218e-06	2.3942423260543044e-06	6.384646202811479e-06	1.5961615507028698e-06	1.4365453956325828e-05	0.0	0.0	0.0	7.980807753514349e-07	3.990403876757175e-06	1.5961615507028698e-06	0.0	7.980807753514349e-07	0.0	6.384646202811479e-06	5.586565427460044e-06	7.980807753514349e-07	3.990403876757175e-06	7.980807753514349e-07	7.980807753514349e-07	7.980807753514349e-07	0.0	3.1923231014057395e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1966-12-31	2.0283046152944685e-05	1.2395194871243974e-05	8.263463247495983e-06	1.0892747008062886e-05	8.263463247495983e-06	2.253671794771632e-06	3.0048957263621754e-06	1.5024478631810877e-06	1.9531822221354143e-05	3.756119657952719e-07	3.756119657952719e-07	0.0	7.512239315905438e-07	1.5024478631810877e-06	1.5024478631810877e-06	3.756119657952719e-07	0.0	3.756119657952719e-07	4.131731623747992e-06	4.131731623747992e-06	2.253671794771632e-06	1.8780598289763597e-06	3.756119657952719e-07	0.0	7.512239315905438e-07	0.0	2.629283760566904e-06	0.0	0.0	0.0	0.0	3.756119657952719e-07	0.0	0.0	0.0	0.0	0.0
1967-12-31	3.23223775165542e-05	1.3957390291239313e-05	5.142196423088168e-06	1.1018992335188932e-05	6.611395401113359e-06	2.938397956050382e-06	2.938397956050382e-06	2.203798467037786e-06	1.4691989780251908e-05	1.469198978025191e-06	0.0	7.345994890125955e-07	7.345994890125955e-07	1.469198978025191e-06	0.0	7.345994890125955e-07	1.469198978025191e-06	7.345994890125955e-07	2.938397956050382e-06	2.938397956050382e-06	4.407596934075572e-06	3.672997445062977e-06	0.0	0.0	0.0	0.0	3.672997445062977e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.345994890125955e-07
1968-12-31	2.5372234683570517e-05	7.543096797818262e-06	1.3714721450578658e-05	1.0971777160462927e-05	5.4858885802314635e-06	2.7429442901157318e-06	4.800152507702531e-06	6.857360725289329e-07	2.1943554320925854e-05	1.3714721450578659e-06	1.3714721450578659e-06	1.3714721450578659e-06	2.0572082175867986e-06	3.4286803626446645e-06	6.857360725289329e-07	6.857360725289329e-07	1.3714721450578659e-06	0.0	6.857360725289329e-06	4.800152507702531e-06	1.3714721450578659e-06	2.7429442901157318e-06	1.3714721450578659e-06	0.0	0.0	0.0	4.114416435173597e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1969-12-31	2.5196349181615948e-05	9.614396398248191e-06	5.967556385119566e-06	1.1935112770239132e-05	8.28827275711051e-06	2.983778192559783e-06	4.309901833697465e-06	1.989185461706522e-06	1.79026691553587e-05	3.3153091028442035e-07	2.6522472822753628e-06	3.3153091028442035e-07	3.3153091028442035e-07	2.3207163719909424e-06	9.94592730853261e-07	6.630618205688407e-07	0.0	0.0	6.962149115972828e-06	2.3207163719909424e-06	2.983778192559783e-06	2.3207163719909424e-06	0.0	3.3153091028442035e-07	0.0	0.0	3.315309102844204e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3153091028442035e-07
1970-12-31	2.907604354588701e-05	1.1697258897770637e-05	9.357807118216509e-06	1.269988108900812e-05	3.676281367870771e-06	5.013110956187415e-06	3.3420739707916103e-06	6.68414794158322e-07	1.5039332868562247e-05	1.6710369853958051e-06	1.336829588316644e-06	1.0026221912374831e-06	1.0026221912374831e-06	2.673659176633288e-06	0.0	0.0	0.0	0.0	5.347318353266576e-06	3.676281367870771e-06	1.336829588316644e-06	2.0052443824749662e-06	6.68414794158322e-07	1.0026221912374831e-06	0.0	0.0	4.0104887649499325e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.68414794158322e-07
1971-12-31	2.5230167941172424e-05	1.3106580748660998e-05	6.225625855613975e-06	1.245125171122795e-05	9.1746065240627e-06	2.293651631015675e-06	9.829935561495749e-07	2.293651631015675e-06	1.9332206604274972e-05	1.9659871122991497e-06	6.553290374330499e-07	6.553290374330499e-07	0.0	2.948980668448725e-06	6.553290374330499e-07	3.2766451871652496e-07	0.0	0.0	4.914967780747875e-06	3.9319742245982995e-06	2.6213161497321997e-06	3.2766451871652496e-06	9.829935561495749e-07	3.2766451871652496e-07	0.0	0.0	1.6383225935826248e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2766451871652496e-07
1972-12-31	3.068126796731806e-05	1.470144090100657e-05	1.18250720290705e-05	9.907492781113122e-06	5.752737743872136e-06	4.154755037240987e-06	4.793948119893447e-06	1.9175792479573788e-06	1.470144090100657e-05	1.2783861653049192e-06	1.2783861653049192e-06	6.391930826524596e-07	9.587896239786894e-07	1.2783861653049192e-06	0.0	6.391930826524596e-07	9.587896239786894e-07	6.391930826524596e-07	5.752737743872136e-06	2.876368871936068e-06	3.8351584959147575e-06	9.587896239786894e-07	1.9175792479573788e-06	3.195965413262298e-07	0.0	0.0	1.9175792479573788e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
